ID,German_Word,Plural_Form,English_Translation,Word_Type,Gender,Example_Sentence_DE,Example_Sentence_EN
293,gerade,,now,Verb,,Da kommt er ja gerade.,There he comes now.
294,geradeaus,,straight on,Verb,,Gehen Sie immer geradeaus!,Keep going straight on!
295,gern(e),,…,Verb,,Ich gehe gerne einkaufen.,I like to go shopping.
296,das Geschäft,-e,shop,Noun,n,Die Geschäfte schließen um 18.30 Uhr.,The shops close at 6:30 pm.
297,das Geschenk,-e,present,Noun,n,Danke für das schöne Geschenk.,Thank you for the beautiful present.
298,die Geschwister (pl.),,sibling,Noun,f,Ich habe leider keine Geschwister.,Unfortunately I have no siblings.
299,das Gespräch,-e,conversation/talk/call,Noun,n,Das Gespräch mit Frau Kunz ist um 14 Uhr.,The conversation with Ms Kunz is at 2 pm.
300,gestern,,yesterday,Verb,,Gestern war ich krank.,Yesterday I was ill.
301,gestorben,,died,Verb,,Meine Frau ist gestern gestorben.,My wife died yesterday.
302,das Getränk,-e,drink,Noun,n,Mein Lieblingsgetränk ist Tomatensaft.,My favourite drink is tomato juice.
303,das Gewicht,,weight,Noun,n,Bei „Gewicht“ schreibst du: 62 Kilo.,"For “weight”, write 62 kg."
304,gewinnen,,to win,Verb,,Wer gewinnt das Spiel?,Who is winning the game?
305,das Glas,"-ä, er",glass,Noun,n,Bitte noch ein Glas Wein!,"Another glass of wine, please!"
306,das Glas,"-ä, er",glasses,Noun,n,Wir brauchen noch drei Gläser.,We need three more glasses.
307,glauben,,to believe,Verb,,"Sie können mir glauben, es ist so.","You can believe me, it’s true."
308,glauben,,to think,Verb,,"Ich glaube, er kommt gleich.",I think he’ll be here in a moment.
309,gleich,,same,Verb,,Das ist mir gleich.,It’s all the same to me.
310,gleich,,same,Verb,,Das ist der gleiche Preis.,That is the same price.
311,gleich,,now,Verb,,Ich komme gleich.,I’ll be right there.
312,das Gleis,-e,platform,Noun,n,Der ICE nach Berlin hält heute an Gleis 12.,The ICE to Berlin is stopping on platform 12 today.
313,das Glück,,luck,Noun,n,Viel Glück!,Good luck!
314,glücklich,,happily,Verb,,Meine Kinder sind glücklich verheiratet.,My children are happily married.
315,der Glückwunsch,,congratulations,Noun,m,Herzlichen Glückwunsch zum Geburtstag.,Best wishes on your birthday!
316,Grad (Celsius),,degrees,Verb,,Heute haben wir dreißig Grad.,Today it is thirty degrees.
317,gratulieren,,to congratulate,Verb,,Ich gratuliere dir!,I congratulate you!
318,grillen,,to (have a) barbecue,Verb,,Heute grillen wir im Garten.,Today we are having a barbecue in the garden.
319,groß,,tall,Verb,,Mein Bruder und ich sind gleich groß.,My brother and I are the same height.
320,groß,,large,Verb,,Frankfurt ist eine große Stadt.,Frankfurt is a large town.
321,die Größe,,size,Noun,f,Haben Sie das auch in Größe 40?,Do you also have that in size 40?
322,die Großeltern (pl.),,grandparents,Noun,f,Meine Großeltern leben in Japan.,My grandparents live in Japan.
323,die Großmutter,,grandmother,Noun,f,Meine Großmutter heißt Eva.,My grandmother is called Eva.
324,der Großvater,,grandfather,Noun,m,Mein Großvater ist schon 80.,My grandfather is already 80.
325,die Gruppe,-n,group,Noun,f,Die erste Gruppe beginnt um 16 Uhr.,The first group begins at 4 pm.
326,der Gruß,"-ü, e",regards,Noun,m,Viele Grüße an Ihre Frau.,Give my regards to your wife.
327,der Gruß,"-ü, e",regards,Noun,m,Mit freundlichen Grüßen,Kind regards.
328,gültig,,valid,Verb,,Der Pass ist nicht mehr gültig.,The passport is no longer valid.
329,günstig,,cheap,Verb,,Dort gibt es günstige Angebote.,There are cheap offers there.
330,gut,,good,Verb,,Das finde ich gut.,I think that’s good.
331,gut,,good,Verb,,Ich komme um 13 Uhr. / Gut!,I will arrive at 1 pm. / Good!
332,gut,,good,Verb,,Guten Morgen!,Good morning!
333,gut,,…,Verb,,Ein gutes neues Jahr!,Happy new year!
334,gut,,…,Verb,,Guten Appetit!,Bon appetit!
335,das Haar,-e,hair,Noun,n,Sie hat lange Haare.,She has long hair.
336,haben,,to have,Verb,,Ich habe ein neues Auto.,I have a new car.
337,das Hähnchen,-,chicken,Noun,n,Ein Hähnchen mit Pommes bitte!,"Chicken with chips, please!"
338,die Halbpension,,board (dining),Noun,f,Möchten Sie Vollpension oder Halbpension?,Would you like full or half-board?
339,die Halle,,hall,Noun,f,Wir treffen uns in Halle B.,We will meet in hall B.
340,hallo,,hello,Verb,,Hallo Inge! Wie geht’s?,Hello Inge! How’s it going?
341,halten,,to stop,Verb,,Dieser Zug hält nicht in Rüdesheim.,This train does not stop in Rüdesheim.
342,die Haltestelle,,(public transport) stop,Noun,f,An der nächsten Haltestelle müssen Sie aussteigen.,At the next stop you must alight.
343,die Hand,"-ä, e",hand,Noun,f,Er gibt mir die Hand.,He gives me his hand.
344,das Handy,-s,mobile telephone,Noun,n,In der Schule bitte die Handys ausmachen!,Please turn off your mobile phones in school!
345,das Haus,"-ä, er",house / building,Noun,n,In welchem Haus wohnst du?,Which house do you live in?
346,das Haus,"-ä, er",home,Noun,n,Ich gehe jetzt nach Hause.,I’m going home now.
347,das Haus,"-ä, er",home,Noun,n,Paul ist nicht zu Hause.,Paul is not home.
348,die Hausaufgabe,-n,homework,Noun,f,Kannst du mir bei den Hausaufgaben helfen?,Can you help me with the homework?
349,die Hausfrau,-en/,housewife,Noun,f,"Die Hausfrau wäscht, kocht und kauft ein.","The housewife washes, cooks, and goes shopping."
350,der Hausmann,,househusband,Noun,m,"Der Hausmann wäscht, kocht und kauft ein.","The househusband washes, cooks, and goes shopping."
351,die Heimat,,home,Noun,f,Ich komme aus der Schweiz. Das ist meine Heimat.,I come from Switzerland. It’s my home.
352,heiraten,,to marry,Verb,,Meine Schwester heiratet einen Japaner.,My sister is marrying a Japanese man.
353,heißen,,to be called,Verb,,Ich heiße Charlotte Meier.,I’m called Charlotte Meier.
354,heißen,,to be called,Verb,,Wie heißt das auf Deutsch?,What’s that called in German?
355,helfen,,to help,Verb,,"Können Sie mir helfen, bitte?","Can you help me, please?"
356,hell,,light,Verb,,Im Sommer ist es bis 21 Uhr hell.,In summer it is light until 9 pm.
357,der Herd,,stove,Noun,m,In der neuen Küche fehlt noch der Herd.,The stove is still missing from the new kitchen.
358,der Herr,-en,Mister,Noun,m,"Guten Tag, Herr Sommer!","Good day, Mr Sommer!"
359,herzlich,,…,Verb,,Herzlichen Glückwunsch!,Congratulations!
360,heute,,today,Verb,,Heute ist ein schöner Tag.,Today is a beautiful day.
361,hier,,here,Verb,,"Hier ist 06131-553221, Pamela Linke.","This is 06131-553221, Pamela Linke."
362,hier,,here,Verb,,Hier wohne ich.,I live here.
363,die Hilfe,,help,Noun,f,Hilfe! Bitte helfen Sie mir!,Help! Please help me!
364,die Hilfe,,help,Noun,f,Brauchen Sie meine Hilfe?,Do you need my help?
365,hinten,,at/in the back,Verb,,Die Tür zum Aussteigen ist hinten.,The exit door is at the back.
366,das Hobby,-s,hobby,Noun,n,Meine Hobbys sind Wandern und Schwimmen.,My hobbies are hiking and swimming.
367,hoch,,high,Verb,,Der Mount Everest ist 8.880 Meter hoch.,"Mount Everest is 8,880 metres high."
368,die Hochzeit,,marriage,Noun,f,Zur dieser Hochzeit kommen mehr als fünfzig Gäste.,More than fifty guests are coming to this wedding.
369,holen,,to fetch,Verb,,Ich hole zwei Flaschen Wasser aus der Küche.,I’m fetching two bottles of water from the kitchen.
370,hören,,to listen,Verb,,Hör mal! Was ist das?,Listen! What is that?
371,hören,,to hear,Verb,,Ich habe das Lied schon mal gehört.,I have already heard that song.
372,das Hotel,-s,hotel,Noun,n,Im Urlaub sind wir in einem Hotel am Meer.,On holiday we are in a hotel by the sea.
373,der Hund,-e,dog,Noun,m,Der Hund ist noch jung.,The dog is still young.
374,der Hunger,,hunger,Noun,m,Ich habe Hunger! Wann ist das Essen fertig?,I’m hungry! When will the food be ready?
375,ich,,I,Verb,,Ich heiße Veronika.,I’m called Veronika.
376,ihm/ihr,,him/her,Verb,,Gib ihm/ihr bitte das Buch.,Please give the book to him/her.
377,ihn,,him,Verb,,Ruf ihn bitte an.,"Call him, please."
378,immer,,always,Verb,,Frau Bast kommt immer zu spät.,Ms Bast is always late.
379,in,,in,Verb,,Ich wohne in Wiesbaden.,I live in Wiesbaden.
380,in,,in,Verb,,Der Zug kommt in fünf Minuten.,The train comes in five minutes.
381,in,,in,Verb,,Frau Rausch arbeitet in einem Geschäft.,Ms Rausch works in a shop.
382,in,,to,Verb,,"Komm, wir gehen ins Kino.","Come on, we’re going to the cinema."
383,die Information,-en,information point,Noun,f,"Wenn Sie Fragen haben, gehen Sie zur Information.","If you have questions, go to the information point."
384,die Information,-en,information,Noun,f,Wir haben hier wichtige Informationen für Sie.,We have important information for you.
385,international,,international,Verb,,"Unser Deutschkurs ist international: Silvana kommt aus Italien, Conchi aus Spanien, Yin aus China ...","Our German course is international: Silvana comes from Italy, Conchi from Spain, Yin from China, …"
386,das Internet,,internet,Noun,n,Das findest du im Internet.,You will find that on the internet.
387,ja,,yes,Verb,,Sind Sie Herr Watanabe? / Ja.,Are you Mr Watanabe? / Yes.
388,die Jacke,-n,jacket,Noun,f,Zieh dir eine Jacke an. Es ist kalt.,Put your jacket on. It’s cold.
389,jed-,,every,Verb,,Blumen kannst du in jedem Bahnhof kaufen.,You can buy flowers at every station.
390,jetzt,,now,Verb,,Jetzt machen wir eine Pause.,Now we will take a break.
391,der Job,-s,job,Noun,m,Jenny hat einen neuen Job bei der Post.,Jenny has a new job at the post office.
392,der Jugendliche,-n,youth/young person,Noun,m,Viele Jugendliche kaufen gern ein.,Many youths like shopping.
393,jung,,young,Verb,,Claudia ist 21. / Was? Noch so jung?,Claudia is 21. / What? Still so young?
394,der Junge,-n,boy,Noun,m,Ich habe zwei Kinder. Einen Jungen und ein Mädchen.,I have two children. One boy and one girl.
395,der Kaffee,,coffee,Noun,m,Zum Frühstück trinke ich immer Kaffee.,For breakfast I always drink coffee.
396,kaputt,,…,Verb,,Das Glas war teuer. Es geht sehr leicht kaputt.,The glass was expensive. It will break very easily.
397,kaputt,,broken,Verb,,Das Glas ist kaputt.,The glass is broken.
398,die Karte,-n,card,Noun,f,Ich schreibe meinen Bekannten eine Karte aus dem Urlaub.,I’ll write my acquaintances a card from holiday.
399,die Karte,-n,card,Noun,f,Wollen wir Karten spielen?,Shall we play cards?
400,die Karte,-n,menu,Noun,f,"Ich möchte auch etwas essen. Bringen Sie mir die Karte, bitte.",I also want to eat something. Please bring me the menu.
401,(Kredit)-Karte,-n,(credit) card,Verb,,Kann ich auch mit Karte (be-) zahlen?,Can I also pay by card?
402,die Kartoffel,-n,potato,Noun,f,Für Pommes frites braucht man Kartoffeln.,For chips you need potatoes.
403,die Kasse,,till,Noun,f,Zahlen Sie bitte an der Kasse.,Please pay at the till.
404,kaufen,,to buy,Verb,,Tim kauft sich ein neues Auto.,Tim buys himself a new car.
405,kein,,no/none,Verb,,Es gibt keine Eintrittskarten mehr.,There are no more tickets.
406,kennen,,to know,Verb,,"Kennen Sie diese Frau? / Nein, leider nicht.","Do you know this woman? / No, unfortunately not."
407,kennenlernen,,to get to know,Verb,,Wir sind neu hier. Wir möchten Sie kennenlernen.,We are new here. We would like to get to know you.
408,das Kind,-er,child,Noun,n,Wie viele Kinder haben Sie?,How many children do you have?
409,der Kindergarten,,kindergarten,Noun,m,Die kleine Laura geht schon in den Kindergarten.,Little Laura is already going to kindergarten.
410,das Kino,-s,cinema,Noun,n,Wir sehen heute Abend im Kino einen schönen Film.,We’re watching a lovely film this evening.
411,der Kiosk,,kiosk,Noun,m,"Am Kiosk bekommen Sie Getränke, Zigaretten und Zeitungen.","At the kiosk you can get drinks, cigarettes, and newspapers."
412,klar,,of course / naturally,Verb,,Kommst du mit? / Klar!,Are you coming with us? / Of course!
413,die Klasse,,class,Noun,f,In unserer Klasse sind fünfundzwanzig Schüler.,In our class there are twenty five pupils.
414,die Klasse,,class,Noun,f,Im Zug fahre ich immer 2. Klasse.,On the train I always travel in second class.
415,die Kleidung,,clothes,Noun,f,"Wo finde ich Kleidung? / Jacken im ersten, Jeans im zweiten Stock.","Where can I find clothes? / Jackets on the first floor, jeans on the second."
416,klein,,small,Verb,,Eltville ist eine kleine Stadt am Rhein.,Eltwille is a small town on the Rhine.
417,kochen,,to cook,Verb,,Herr Georgi kann gut kochen.,Mr Georgi is good at cooking.
418,der Koffer,–,suitcase,Noun,m,Ist das Ihr Koffer?,Is that your suitcase?
419,der Kollege,-n,colleague,Noun,m,Wie heißt die neue Kollegin?,What’s the new colleague called?
420,kommen,,to come,Verb,,Woher kommen Sie? / Aus Frankreich.,Where do you come from? / From France.
421,kommen,,to come,Verb,,Kommst du mit ins Schwimmbad?,Are you coming with us to the pool?
422,können,,to be able to,Verb,,Ich kann Deutsch und Russisch.,I can speak German and Russian.
423,können,,to be able to,Verb,,Können Sie mir helfen?,Can you help me?
424,das Konto,,account,Noun,n,Das Geld überweisen wir am ersten März auf Ihr Konto.,We will transfer the money to your account on the first of March.
425,der Kopf,,head,Noun,m,Mein Kopf tut weh!,My head hurts!
426,kosten,,to cost,Verb,,Wie viel kostet das? / 10 Euro.,How much does that cost? / 10 euros.
427,krank,,ill,Verb,,"Ich kann heute nicht zur Arbeit kommen, ich bin krank und liege im Bett.","I can’t come to work today, I’m ill in bed."
428,kriegen,,to get,Verb,,Ich kriege 15 Euro in der Stunde für meine Arbeit.,I get 15 euros an hour for my work.
429,die Küche,,kitchen,Noun,f,Der neue Herd kommt in die Küche.,The new stove goes in the kitchen.
430,der Kuchen,,cake,Noun,m,Ich nehme ein Stück Kuchen.,I’ll have a piece of cake.
431,der Kugelschreiber,,ball-point pen,Noun,m,Hast du einen Kugelschreiber für mich?,Do you have a pen I can borrow?
432,der Kühlschrank,,fridge,Noun,m,"Haben wir noch Milch? / Ja, im Kühlschrank.","Do we still have milk? / Yes, in the fridge."
433,kulturell interessiert,,interested in culture,Verb,,Ich bin kulturell interessiert. Ich gehe oft ins Museum.,I am interested in culture. I often go to the museum.
434,kulturell,,cultural,Verb,,Die Geschichte ist kulturell wichtig.,History is culturally important.
435,sich kümmern,,to look after,Verb,,Jede Mutter kümmert sich um ihre kleinen Kinder.,Every mother looks after her little children.
436,der Kunde,-n,customer,Noun,m,"Einen Moment, bitte. Ich habe eine Kundin.","One moment, please. I have a customer."
437,der Kurs,-e,course,Noun,m,Der Deutschkurs geht bis zum Sommer.,The German course runs until summer.
438,kurz,,short,Verb,,Ricardo hat kurzes Haar.,Ricardo has short hair.
439,lachen,,to laugh,Verb,,Die Kinder lachen viel.,The children laugh a lot.
440,der Laden,-ä,shop,Noun,m,Im Buchladen können Sie Bücher kaufen.,In the bookshop you can buy books.
441,das Land,"-ä, er",country,Noun,n,Italien ist ein schönes Land.,Italy is a beautiful country.
442,lang,,long,Verb,,Die Jeans ist zu lang.,The jeans are too long.
443,lange,,long,Verb,,Wie lange fährt der Zug von Hamburg nach Berlin?,How long is the train journey from Hamburg to Berlin?
444,langsam,,slow,Verb,,Könnten Sie bitte etwas langsamer sprechen?,Can you please speak a little slower?
445,laufen,,to walk/run,Verb,,"Ich möchte nicht Auto fahren, ich möchte laufen.","I don’t want to go by car, I want to walk."
446,laut,,loud,Verb,,Nicht so laut! Das Baby schläft.,Not so loud! The baby is sleeping.
447,leben,,to live,Verb,,Sie lebt bei ihrer Schwester.,She lives at her sister‘s.
448,leben,,to live,Verb,,Ihre Eltern leben nicht mehr.,Her parents are no longer alive.
449,das Leben,,life,Noun,n,Das Leben in diesem Land ist teuer.,Life in this country is expensive.
450,die Lebensmittel (pl.),,food,Noun,f,Lebensmittel bekommen Sie im Supermarkt.,You can get food from the supermarket.
451,ledig,,single,Verb,,Sind Sie verheiratet? / Nein. Ledig.,Are you married? / No. Single.
452,legen,,to put,Verb,,Legen Sie das Buch auf den Tisch.,Put the book on the table.
453,der Lehrer,–,teacher,Noun,m,Unsere Deutschlehrerin heißt Frau Müller.,Our German teacher is called Ms Müller.
454,leicht,,light (weight),Verb,,Der Koffer ist leicht.,The suitcase is light.
455,leicht,,easy,Verb,,Deutsch ist nicht leicht.,German is not easy.
456,leider,,unfortunately,Verb,,Leider kann ich nicht kommen. Ich muss zum Arzt.,Unfortunately I can’t come. I need to go to the doctor.
457,leise,,quiet,Verb,,Seid leise. Die anderen schlafen schon.,Be quiet. The others are already asleep.
458,lernen,,to learn,Verb,,Wie lange lernen Sie schon Deutsch?,How long have you been learning German?
459,lesen,,to read,Verb,,Ich lese ein Buch von García Márquez.,I’m reading a book by García Márquez.
460,letzt-,,last,Verb,,Morgen ist der letzte Kurstag.,Tomorrow is the last day of the course.
461,die Leute (pl.),,people,Noun,f,In der Disko sind viele Leute.,There are a lot of people at the disco.
462,das Licht,,light,Noun,n,Wo macht man hier das Licht an?,Where do you switch on the light here?
463,lieb-,,dear,Verb,,"Liebe Susanne, lieber Hans,","Dear Susanne, dear Hans,"
464,lieben,,to love,Verb,,Ich liebe dich!,I love you!
465,lieber,,to prefer,Verb,,Sie fährt lieber mit der Bahn.,She prefers to travel by train.
466,Lieblings-,,favourite,Adjective,,Mein Lieblingsfilm ist „Schwarze Augen“.,My favourite film is “Dark Eyes”.
467,das Lied,-er,song,Noun,n,Welches ist dein Lieblingslied?,Which is your favourite song?
468,liegen,,to lie,Verb,,Um neun Uhr liegt Judith noch im Bett.,At 9 am Judith is still (lying) in bed.
469,liegen,,to lie / be located,Verb,,Frankfurt liegt am Main.,Frankfurt lies on the Main.
470,links,,left,Verb,,Gehen Sie die nächste Straße links.,Go down the next street on the left.
471,der Lkw,-s,HGV,Noun,m,Dieser Lastkraftwagen ist sehr groß.,That heavy goods vehicle is very large.
472,das Lokal,,pub,Noun,n,In unserer Straße gibt es ein neues Lokal.,There is a new pub on our street.
473,die Lösung,-en,solution,Noun,f,Die Lösung ist ganz einfach.,The solution is quite simple.
474,lustig,,funny,Verb,,Frau Mertens ist lustig. Sie lacht immer.,Ms Mertens is funny. She is always laughing.
475,machen,,to do,Verb,,Was machst du heute Abend?,What are you doing this evening?
476,machen,,to make,Verb,,Ich muss jetzt das Essen machen.,I need to make the food now.
477,machen,,to come to,Verb,,Das macht 5 Euro 95.,That comes to 5 euros 95.
478,machen,,…,Verb,,Das macht nichts.,It doesn't matter.
479,das Mädchen,–,girl,Noun,n,Familie Kurz bekommt ein Baby. / Junge oder Mädchen?,The Kurz family are expecting a new baby. / Boy or girl?
480,man,,one / impersonal ‘you’,Verb,,Hier darf man nicht rauchen.,You may not smoke here.
481,der Mann,"-ä, er",man / husband,Noun,m,Mein Mann arbeitet bei der Polizei.,My husband works for the police.
482,männlich,,male,Verb,,Kreuzen Sie bitte an: „weiblich“ oder „männlich“.,Please tick “female” or “male”.
483,die Maschine,-n,machine,Noun,f,Die Waschmaschine ist günstig.,The washing machine is cheap.
484,das Meer,,sea,Noun,n,Wir machen Urlaub am Meer.,We are holidaying by the sea.
485,mehr,,more,Verb,,Dieses Auto kostet 1.000 Euro mehr als das andere.,This car costs 1000 euros more than the other.
486,mein,,my,Verb,,Mein Vater ist Arzt.,My father is a doctor.
487,meist-,,most,Verb,,Die meisten Norddeutschen sind sehr groß.,Most northern Germans are very tall.
488,der Mensch,-en,people,Noun,m,Die Menschen sind hier anders als bei uns.,The people here are different than at home.
489,mieten,,to rent,Verb,,Ich möchte ein Auto mieten.,I would like to rent a car.
490,die Miete,,rent,Noun,f,Die Miete für diese Wohnung ist 600 Euro.,The rent for this flat is 600 euros.
491,die Milch,,milk,Noun,f,Die Milch steht im Kühlschrank.,The milk is in the fridge.
492,mit,,with,Verb,,Trinken Sie den Kaffee mit Milch?,Do you take milk with your coffee?
493,mitbringen,,to bring with one / to get (sth. for sb.),Verb,,Ich gehe einkaufen. Soll ich dir was mitbringen?,I’m going shopping. Should I get you anything?
494,mitkommen,,to come with,Verb,,Ich gehe ins Kino. Kommst du mit?,I’m going to the cinema. Are you coming with me?
495,mitmachen,,to join in,Verb,,Warum macht ihr nicht mit?,Why don‘t you join in?
496,mitnehmen,,to take with,Verb,,Nehmen wir meine Schwester ins Kino mit?,Are we taking my sister with us to the cinema?
497,die Mitte,,middle,Noun,f,Der Lehrer steht in der Mitte des Klassenzimmers.,The teacher stands in the middle of the classroom.
498,die Möbel (pl.),,furniture,Noun,f,Sind die Möbel neu?,Is the furniture new?
499,möchten,,would like to,Verb,,Was möchten Sie trinken?,What would you like to drink?
500,mögen,,to like,Verb,,Magst du Kaffee oder Tee?,Do you like coffee or tea?
501,möglich,,possible,Verb,,Mit dieser Fahrkarte ist die Fahrt ab 9 Uhr möglich.,"With this ticket, it is possible to travel after 9 am."
502,der Moment,,moment,Noun,m,Moment mal bitte!,"Just a moment, please!"
503,der Moment,,moment,Noun,m,Einen Moment bitte.,"One moment, please."
504,morgen,,tomorrow,Verb,,Morgen beginnt die Schule um 10 Uhr.,Tomorrow school begins at 10 am.
505,müde,,tired,Verb,,Ich bin müde. Ich gehe schlafen.,I’m tired. I’m going to sleep.
506,der Mund,,mouth,Noun,m,Öffnen Sie den Mund.,Open your mouth.
507,müssen,,to have to,Verb,,Ich muss jeden Tag von 8 Uhr bis 18 Uhr arbeiten.,I have to work from 8 am to 6 pm every day.
508,die Mutter,-ü,mother,Noun,f,Frau Berghäuser ist die Mutter von Michaela.,Ms Berghäuser is the mother of Michaela.
509,nach,,to (somewhere),Verb,,Ich gehe jetzt nach Hause.,I’m going home now.
510,nach,,to (somewhere),Verb,,Ich fliege nach München.,I’m flying to Munich.
511,nach,,after / past (time),Verb,,Es ist schon 5 nach 12.,It is already 5 past 12.
512,nächst-,,next,Verb,,Sehen wir uns nächste Woche?,Are we seeing each other next week?
513,der Name,-n,name,Noun,m,Mein Name ist Thomas Schmidt.,My name is Thomas Schmidt.
514,der Name,-n,name,Noun,m,"Mein Vorname ist Thomas, Schmidt ist der Familienname.","My first name is Thomas, Schmidt is the surname."
515,nehmen,,to have (food/drink),Verb,,Heute gibt es Hähnchen. Das nehme ich.,There is chicken today. I’ll have that.
516,nehmen,,to take,Verb,,Ich nehme den Bus.,I take the bus.
517,nein,,no,Verb,,"Fährst du auch nach München? / Nein, ich habe keine Zeit.","Are you also travelling to Munich? / No, I don‘t have time."
518,neu,,new,Verb,,Ich bin der neue Kollege.,I am the new colleague.
519,neu,,new,Verb,,Wir haben eine neue Wohnung.,We have a new flat.
520,nicht,,not,Verb,,Das stimmt nicht.,That’s not right.
521,nicht,,no,Verb,,"Das ist doch schön, nicht?","That’s really beautiful, no?"
522,nichts,,…,Verb,,Das macht nichts.,"It's okay, don't worry."
523,nichts,,nothing,Verb,,Hier kaufe ich nichts. Der Laden gefällt mir nicht.,I won’t buy anything here. I don’t like the shop.
524,nie,,never,Verb,,Er kommt nie pünktlich.,He is never on time.
525,noch,,still,Verb,,Vielleicht kommt er noch.,Perhaps he will still come.
526,noch,,another,Verb,,Wir warten noch fünf Minuten.,We will wait another five minutes.
527,noch,,still,Verb,,Ich habe noch 20 Euro.,I still have 20 euros.
528,normal,,normal,Verb,,75 kg. Sein Gewicht ist normal.,75 kg. His weight is normal.
529,die Nummer,-n,number,Noun,f,Welche Hausnummer haben Sie?,Which house number is yours?
530,die Nummer,-n,number,Noun,f,Können Sie mir Ihre Nummer geben?,Can you give me your number?
531,nur,,only,Verb,,Ich möchte nur ein Glas Wasser.,I only want a glass of water.
532,oben,,upstairs,Verb,,Ich wohne oben.,I live upstairs.
533,das Obst,,fruit,Noun,n,Im Sommer ist das Obst billig.,In summer fruit is cheap.
534,oder,,or,Verb,,Wann können Sie kommen – heute oder morgen?,When can you come – today or tomorrow?
535,öffnen,,to open,Verb,,Ich öffne die Tür.,I open the door.
536,geöffnet,,open,Verb,,Der Laden ist samstags bis 16:00 Uhr geöffnet.,The shop is open until 4 pm on Saturdays.
537,oft,,often,Verb,,Petra treffe ich oft.,I often meet Petra.
538,ohne,,without,Verb,,Ohne Geld kann er nichts kaufen.,Without money he can’t buy anything.
539,das Öl,,oil,Noun,n,Den Salat machen wir ohne Öl.,We make the salad without oil.
540,die Oma,-s,grandmother,Noun,f,Meine Oma ist schon tot.,My grandmother is already dead.
541,der Opa,-s,grandfather,Noun,m,Mein Opa heißt Hans.,My grandfather is called Hans.
542,die Ordnung,,…,Noun,f,Das ist in Ordnung.,That is in order/acceptable/fine.
543,der Ort,-e,location / place,Noun,m,Der Ort liegt am Meer.,That place is by the sea.
544,das Papier,,paper,Noun,n,Hier sind Papier und Bleistift.,Here is a pencil and paper.
545,die Papiere (pl.),,papers,Noun,f,Haben Sie Ihre Papiere dabei?,Do you have your papers with you?
546,der Partner,-/,(male) partner,Noun,m,Er is mein Partner.,He is my partner.
547,die Partnerin,-nen,(female) partner,Noun,f,Sie ist meine Partnerin.,She is my partner.
548,die Party,,party,Noun,f,Heute Abend machen wir eine Party.,This evening we are having a party.
549,der Pass,"-ä, e",passport,Noun,m,Im Hotel brauchst du deinen Pass.,In the hotel you need your passport.
550,die Pause,-n,break,Noun,f,Von 12:00 bis 12:30 Uhr haben wir Mittagspause.,From 12 until 12:30 pm we have a lunch break.
551,der Plan,"-ä, e",map / plan,Noun,m,Ich kaufe mir einen Stadtplan.,I will buy myself a map of the town.
552,der Platz,"-ä, e",seat,Noun,m,"Tut mir leid, der Platz ist besetzt.","I’m sorry, this seat is taken."
553,der Platz,"-ä, e",seat,Noun,m,Bitte nehmen Sie Platz!,Please take a seat!
554,der Platz,"-ä, e",square,Noun,m,Ich wohne neben dem Platz.,I live next to the square.
555,die Polizei,,police,Noun,f,Holen Sie die Polizei!,Fetch the police!
556,die Pommes frites (pl.),,chips,Noun,f,Die Kinder essen Hähnchen mit Pommes frites.,The children are eating chicken and chips.
557,die Post,,post office,Noun,f,"Wo ist die Post, bitte?","Where is the post office, please?"
558,die Post,,post / mail,Noun,f,Ist Post da?,Is there post?
559,die Postleitzahl,,postcode,Noun,f,Wie ist Ihre Postleitzahl?,What is your postcode?
560,das Praktikum,,internship,Noun,n,Ich mache ein Praktikum bei Siemens.,I am doing an internship at Siemens.
561,die Praxis,,practice,Noun,f,Die Praxis ist ab acht Uhr geöffnet.,The practice is open from 8 am.
562,der Preis,-e,price,Noun,m,Die Preise sind hoch.,The prices are high.
563,das Problem,-e,problem,Noun,n,Mein Problem ist die Sprache.,My problem is the language.
564,der Prospekt,-e,brochure,Noun,m,Bitte schicken Sie mir einen Prospekt von Ihrem Hotel.,Please send me a brochure for your hotel.
565,die Prüfung,,examination,Noun,f,Die Prüfung ist am Montag um 8:00 Uhr.,The exam is on Monday at 8 am.
566,pünktlich,,sharp,Verb,,Der Bus fährt pünktlich um acht Uhr.,The bus leaves at 8 am sharp.
567,pünktlich,,punctual,Verb,,Herr Müller ist immer pünktlich.,Mr Müller is always punctual.
568,Rad fahren,,to cycle,Adjective,,Das Kind kann schon Rad fahren.,The child can already ride a bike.
569,rauchen,,to smoke,Verb,,Ich rauche nicht.,I don’t smoke.
570,der Raum,"-ä, e",room,Noun,m,Der Unterricht ist in Raum 332.,The class is in room 332.
571,die Rechnung,-en,bill,Noun,f,"Die Rechnung, bitte.","The bill, please."
572,rechts,,right,Verb,,Die Schillerstraße ist hier rechts.,Schillerstraße is on the right here.
573,regnen,,to rain,Verb,,Heute regnet es.,Today it’s raining.
574,der Regen,,rain,Noun,m,Bei diesem Regen gehe ich nicht raus.,I’m not going out in this rain.
575,der Reis,,rice,Noun,m,Ich esse gern Reis.,I like eating rice.
576,reisen,,to travel,Verb,,Ich reise gern.,I like to travel.
577,die Reise,,journey / trip,Noun,f,Wir machen eine Reise nach Österreich.,We are going on a trip to Austria.
578,das Reisebüro,-s,travel agency,Noun,n,Mein Mann arbeitet im Reisebüro.,My husband works at a travel agency.
